date,major_minor,downloads
2023-07-17,1.3,74
2023-07-18,1.3,61
2023-07-19,1.2,1
2023-07-19,1.3,61
2023-07-20,1.3,71
2023-07-21,1.3,56
2023-07-22,1.3,64
2023-07-23,1.3,46
2023-07-24,1.2,1
2023-07-24,1.3,55
2023-07-25,1.3,49
2023-07-26,1.3,104
2023-07-27,1.3,68
2023-07-28,1.3,52
2023-07-29,1.3,49
2023-07-30,1.3,44
2023-07-31,1.1,18
2023-07-31,1.2,1
2023-07-31,1.3,52
2023-08-01,1.1,20
2023-08-01,1.3,51
2023-08-02,1.3,65
2023-08-03,1.3,72
2023-08-04,1.3,50
2023-08-05,1.3,44
2023-08-06,1.3,43
2023-08-07,1.3,52
2023-08-08,1.2,1
2023-08-08,1.3,43
2023-08-09,1.2,3
2023-08-09,1.3,66
2023-08-10,1.2,4
2023-08-10,1.3,50
2023-08-11,1.2,1
2023-08-11,1.3,57
2023-08-12,1.3,70
2023-08-13,1.3,63
2023-08-14,1.3,112
2023-08-15,1.3,42
2023-08-16,1.2,2
2023-08-16,1.3,31
2023-08-17,1.2,2
2023-08-17,1.3,53
2023-08-18,1.2,2
2023-08-18,1.3,35
2023-08-19,1.3,28
2023-08-20,1.3,26
2023-08-21,1.2,1
2023-08-21,1.3,48
2023-08-22,1.2,2
2023-08-22,1.3,65
2023-08-23,1.2,4
2023-08-23,1.3,26
2023-08-24,1.3,33
2023-08-25,1.2,1
2023-08-25,1.3,49
2023-08-26,1.3,33
2023-08-27,1.3,29
2023-08-28,1.2,1
2023-08-28,1.3,33
2023-08-29,1.3,38
2023-08-30,1.2,3
2023-08-30,1.3,29
2023-08-31,1.3,34
2023-09-01,1.3,94
2023-09-02,1.2,3
2023-09-02,1.3,29
2023-09-03,1.3,28
2023-09-04,1.3,29
2023-09-05,1.3,31
2023-09-06,1.3,34
2023-09-07,1.3,48
2023-09-08,1.3,28
2023-09-09,1.3,26
2023-09-10,1.3,24
2023-09-11,1.3,31
2023-09-12,1.3,47
2023-09-13,1.3,33
2023-09-14,1.3,29
2023-09-15,1.3,33
2023-09-16,1.3,30
2023-09-17,1.3,26
2023-09-18,1.3,27
2023-09-19,1.3,34
2023-09-20,1.3,30
