"date","downloads","pkg"
"2024-04-19",1204,"shiny"
"2024-04-20",769,"shiny"
"2024-04-21",710,"shiny"
"2024-04-22",1820,"shiny"
"2023-10-25",10,"vetiver"
"2023-10-26",31,"vetiver"
"2023-10-27",169,"vetiver"
"2023-10-29",1,"vetiver"
"2023-10-30",17,"vetiver"
"2023-10-31",5,"vetiver"
"2023-11-01",7,"vetiver"
"2023-11-02",8,"vetiver"
"2023-11-03",6,"vetiver"
"2023-11-04",1,"vetiver"
"2023-11-05",3,"vetiver"
"2023-11-06",12,"vetiver"
"2023-11-07",27,"vetiver"
"2023-11-08",5,"vetiver"
"2023-11-09",6,"vetiver"
"2023-11-10",16,"vetiver"
"2023-11-12",2,"vetiver"
"2023-11-13",33,"vetiver"
"2023-11-14",11,"vetiver"
"2023-11-15",32,"vetiver"
"2023-11-16",13,"vetiver"
"2023-11-17",2,"vetiver"
"2023-11-18",8,"vetiver"
"2023-11-20",10,"vetiver"
"2023-11-21",67,"vetiver"
"2023-11-22",14,"vetiver"
"2023-11-23",4,"vetiver"
"2023-11-24",12,"vetiver"
"2023-11-25",7,"vetiver"
"2023-11-26",4,"vetiver"
"2023-11-27",24,"vetiver"
"2023-11-28",4,"vetiver"
"2023-11-29",7,"vetiver"
"2023-11-30",111,"vetiver"
"2023-12-01",60,"vetiver"
"2023-12-04",46,"vetiver"
"2023-12-05",33,"vetiver"
"2023-12-06",47,"vetiver"
"2023-12-07",34,"vetiver"
"2023-12-08",21,"vetiver"
"2023-12-09",4,"vetiver"
"2023-12-10",4,"vetiver"
"2023-12-11",21,"vetiver"
"2023-12-12",43,"vetiver"
"2023-12-13",20,"vetiver"
"2023-12-14",41,"vetiver"
"2023-12-15",28,"vetiver"
"2023-12-16",20,"vetiver"
"2023-12-17",12,"vetiver"
"2023-12-18",33,"vetiver"
"2023-12-19",55,"vetiver"
"2023-12-20",47,"vetiver"
"2023-12-21",24,"vetiver"
"2023-12-22",12,"vetiver"
"2023-12-23",16,"vetiver"
"2023-12-24",15,"vetiver"
"2023-12-25",26,"vetiver"
"2023-12-26",29,"vetiver"
"2023-12-27",14,"vetiver"
"2023-12-28",10,"vetiver"
"2023-12-29",11,"vetiver"
"2023-12-30",4,"vetiver"
"2023-12-31",5,"vetiver"
"2024-01-01",15,"vetiver"
"2024-01-02",27,"vetiver"
"2024-01-03",41,"vetiver"
"2024-01-04",15,"vetiver"
"2024-01-05",24,"vetiver"
"2024-01-06",6,"vetiver"
"2024-01-07",11,"vetiver"
"2024-01-08",183,"vetiver"
"2024-01-09",36,"vetiver"
"2024-01-10",26,"vetiver"
"2024-01-11",41,"vetiver"
"2024-01-12",33,"vetiver"
"2024-01-13",18,"vetiver"
"2024-01-14",8,"vetiver"
"2024-01-15",29,"vetiver"
"2024-01-16",55,"vetiver"
"2024-01-17",40,"vetiver"
"2024-01-18",23,"vetiver"
"2024-01-19",29,"vetiver"
"2024-01-20",4,"vetiver"
"2024-01-21",9,"vetiver"
"2024-01-22",33,"vetiver"
"2024-01-23",33,"vetiver"
"2024-01-24",17,"vetiver"
"2024-01-25",181,"vetiver"
"2024-01-26",48,"vetiver"
"2024-01-27",7,"vetiver"
"2024-01-28",16,"vetiver"
"2024-01-29",103,"vetiver"
"2024-01-30",44,"vetiver"
"2024-01-31",31,"vetiver"
"2024-02-01",33,"vetiver"
"2024-02-02",23,"vetiver"
"2024-02-03",13,"vetiver"
"2024-02-04",5,"vetiver"
"2024-02-05",50,"vetiver"
"2024-02-06",46,"vetiver"
"2024-02-07",25,"vetiver"
"2024-02-08",47,"vetiver"
"2024-02-09",17,"vetiver"
"2024-02-10",4,"vetiver"
"2024-02-11",30,"vetiver"
"2024-02-12",24,"vetiver"
"2024-02-13",48,"vetiver"
"2024-02-14",14,"vetiver"
"2024-02-15",75,"vetiver"
"2024-02-16",61,"vetiver"
"2024-02-17",26,"vetiver"
"2024-02-18",11,"vetiver"
"2024-02-19",8,"vetiver"
"2024-02-20",37,"vetiver"
"2024-02-21",33,"vetiver"
"2024-02-22",51,"vetiver"
"2024-02-23",30,"vetiver"
"2024-02-24",10,"vetiver"
"2024-02-25",6,"vetiver"
"2024-02-26",44,"vetiver"
"2024-02-27",41,"vetiver"
"2024-02-28",24,"vetiver"
"2024-02-29",36,"vetiver"
"2024-03-01",30,"vetiver"
"2024-03-02",10,"vetiver"
"2024-03-03",13,"vetiver"
"2024-03-04",19,"vetiver"
"2024-03-05",15,"vetiver"
"2024-03-06",37,"vetiver"
"2024-03-07",34,"vetiver"
"2024-03-08",55,"vetiver"
"2024-03-09",30,"vetiver"
"2024-03-10",84,"vetiver"
"2024-03-11",23,"vetiver"
"2024-03-12",26,"vetiver"
"2024-03-13",17,"vetiver"
"2024-03-14",12,"vetiver"
"2024-03-15",27,"vetiver"
"2024-03-16",4,"vetiver"
"2024-03-17",5,"vetiver"
"2024-03-18",9,"vetiver"
"2024-03-19",25,"vetiver"
"2024-03-20",90,"vetiver"
"2024-03-21",117,"vetiver"
"2024-03-22",8,"vetiver"
"2024-03-23",4,"vetiver"
"2024-03-24",6,"vetiver"
"2024-03-25",94,"vetiver"
"2024-03-26",136,"vetiver"
"2024-03-27",99,"vetiver"
"2024-03-28",46,"vetiver"
"2024-03-29",23,"vetiver"
"2024-03-30",7,"vetiver"
"2024-03-31",6,"vetiver"
