date,type,downloads
2017-09-10,desktop,15271
2017-09-11,RS-os,1665
2017-09-11,desktop,28092
2017-09-12,RS-os,1614
2017-09-12,desktop,27473
2017-09-13,RS-os,1604
2017-09-13,desktop,25383
2017-09-14,RS-os,1717
2017-09-14,desktop,24710
2017-09-15,RS-os,1340
2017-09-15,desktop,21697
2017-09-16,RS-os,925
2017-09-16,desktop,13557
2017-09-17,RS-os,914
2017-09-17,desktop,14773
2017-09-18,RS-os,1558
2017-09-18,desktop,27318
2017-09-19,RS-os,1624
2017-09-19,desktop,27853
2017-09-20,RS-os,1707
2017-09-20,desktop,26968
2017-09-21,RS-os,1555
2017-09-21,desktop,25074
2017-09-22,RS-os,1431
2017-09-22,desktop,21526
2017-09-23,RS-os,893
2017-09-23,desktop,13961
2017-09-24,RS-os,910
2017-09-24,desktop,14407
2017-09-25,RS-os,1578
2017-09-25,desktop,26096
2017-09-26,RS-os,1525
2017-09-26,desktop,27397
2017-09-27,RS-os,1586
2017-09-27,desktop,26916
2017-09-28,RS-os,1577
2017-09-28,desktop,26654
2017-09-29,RS-os,1440
2017-09-29,desktop,21936
2017-09-30,RS-os,807
2017-09-30,desktop,14097
2017-10-01,RS-os,834
2017-10-01,desktop,13920
2017-10-02,RS-os,1367
2017-10-02,desktop,24775
2017-10-03,RS-os,1395
2017-10-03,desktop,25109
2017-10-04,RS-os,1306
2017-10-04,desktop,24150
2017-10-05,RS-os,1429
2017-10-05,desktop,24325
2017-10-06,RS-os,1213
2017-10-06,desktop,21330
2017-10-07,RS-os,813
2017-10-07,desktop,13774
2017-10-08,RS-os,788
2017-10-08,desktop,14376
2017-10-09,RS-os,1366
2017-10-09,desktop,27194
2017-10-10,RS-os,1879
2017-10-10,desktop,38583
2017-10-11,RS-os,2125
2017-10-11,desktop,31581
2017-10-12,RS-os,1733
2017-10-12,desktop,27617
2017-10-13,RS-os,1638
2017-10-13,desktop,22965
2017-10-14,RS-os,1068
2017-10-14,desktop,13972
2017-10-15,RS-os,1035
2017-10-15,desktop,13964
2017-10-16,RS-os,1606
2017-10-16,desktop,25958
2017-10-17,RS-os,1770
2017-10-17,desktop,26109
2017-10-18,RS-os,1885
2017-10-18,desktop,24602
2017-10-19,RS-os,1724
2017-10-19,desktop,23550
2017-10-20,RS-os,1775
2017-10-20,desktop,20852
2017-10-21,RS-os,1146
2017-10-21,desktop,13054
2017-10-22,RS-os,1114
2017-10-22,desktop,14053
2017-10-23,RS-os,1745
2017-10-23,desktop,24671
2017-10-24,RS-os,1852
2017-10-24,desktop,24852
2017-10-25,RS-os,1779
2017-10-25,desktop,24727
2017-10-26,RS-os,1735
2017-10-26,desktop,23563
2017-10-27,RS-os,1821
2017-10-27,desktop,20664
2017-10-28,RS-os,1103
2017-10-28,desktop,13628
2017-10-29,RS-os,1095
2017-10-29,desktop,13868
2017-10-30,RS-os,1768
2017-10-30,desktop,22449
2017-10-31,RS-os,1724
2017-10-31,desktop,21337
2017-11-01,RS-os,1863
2017-11-01,desktop,20780
2017-11-02,RS-os,1964
2017-11-02,desktop,21887
2017-11-03,RS-os,1806
2017-11-03,desktop,18418
2017-11-04,RS-os,1219
2017-11-04,desktop,12309
2017-11-05,RS-os,1173
2017-11-05,desktop,12341
2017-11-06,RS-os,1834
2017-11-06,desktop,22554
2017-11-07,RS-os,1924
2017-11-07,desktop,22890
2017-11-08,RS-os,1965
2017-11-08,desktop,22238
2017-11-09,RS-os,2076
2017-11-09,desktop,21025
2017-11-10,RS-os,1768
2017-11-10,desktop,18092
2017-11-11,RS-os,1311
2017-11-11,desktop,11436
2017-11-12,RS-os,1221
2017-11-12,desktop,11906
2017-11-13,RS-os,1735
2017-11-13,desktop,21602
2017-11-14,RS-os,2072
2017-11-14,desktop,22471
2017-11-15,RS-os,2065
2017-11-15,desktop,21341
2017-11-16,RS-os,2058
2017-11-16,desktop,20617
2017-11-17,RS-os,79
2017-11-17,desktop,814
2017-11-18,RS-os,1368
2017-11-18,desktop,11986
2017-11-19,RS-os,1366
2017-11-19,desktop,12043
2017-11-20,RS-os,1976
2017-11-20,desktop,21059
2017-11-21,RS-os,2298
2017-11-21,desktop,21072
2017-11-22,RS-os,2223
2017-11-22,desktop,20191
2017-11-23,RS-os,1772
2017-11-23,desktop,16814
2017-11-24,RS-os,1602
2017-11-24,desktop,14777
2017-11-25,RS-os,1136
2017-11-25,desktop,11391
2017-11-26,RS-os,1151
2017-11-26,desktop,11747
2017-11-27,RS-os,1829
2017-11-27,desktop,20004
2017-11-28,RS-os,1964
2017-11-28,desktop,20984
2017-11-29,RS-os,1876
2017-11-29,desktop,19979
2017-11-30,RS-os,1393
2017-11-30,desktop,19381
2017-12-01,RS-os,1344
2017-12-01,desktop,17530
2017-12-02,RS-os,864
2017-12-02,desktop,11803
2017-12-03,RS-os,948
2017-12-03,desktop,12136
2017-12-04,RS-os,1470
2017-12-04,desktop,20466
2017-12-05,RS-os,1765
2017-12-05,desktop,20396
2017-12-06,RS-os,1829
2017-12-06,desktop,19883
2017-12-07,RS-os,1960
2017-12-07,desktop,18679
2017-12-08,RS-os,1705
2017-12-08,desktop,15958
2017-12-09,RS-os,1510
2017-12-09,desktop,10681
2017-12-10,RS-os,1321
2017-12-10,desktop,11017
2017-12-11,RS-os,1537
2017-12-11,desktop,18810
2017-12-12,RS-os,1624
2017-12-12,desktop,18539
2017-12-13,RS-os,1512
2017-12-13,desktop,17522
2017-12-14,RS-os,1750
2017-12-14,desktop,16569
2017-12-15,RS-os,1656
2017-12-15,desktop,14581
2017-12-16,RS-os,1184
2017-12-16,desktop,9805
2017-12-17,RS-os,1000
2017-12-17,desktop,9925
2017-12-18,RS-os,1421
2017-12-18,desktop,16001
2017-12-19,RS-os,1509
2017-12-19,desktop,15874
2017-12-20,RS-os,1491
2017-12-20,desktop,15268
2017-12-21,RS-os,1326
2017-12-21,desktop,14390
2017-12-22,RS-os,1232
2017-12-22,desktop,11302
2017-12-23,RS-os,860
2017-12-23,desktop,7552
2017-12-24,RS-os,923
2017-12-24,desktop,6861
2017-12-25,RS-os,882
2017-12-25,desktop,7619
2017-12-26,RS-os,936
2017-12-26,desktop,10243
2017-12-27,RS-os,1115
2017-12-27,desktop,11328
2017-12-28,RS-os,1112
2017-12-28,desktop,11468
2017-12-29,RS-os,901
2017-12-29,desktop,9290
2017-12-30,RS-os,995
2017-12-30,desktop,7477
2017-12-31,RS-os,742
2017-12-31,desktop,5634
2018-01-01,RS-os,865
2018-01-01,desktop,6112
2018-01-02,RS-os,1223
2018-01-02,desktop,14046
2018-01-03,RS-os,1336
2018-01-03,desktop,16500
2018-01-04,RS-os,1563
2018-01-04,desktop,16645
2018-01-05,RS-os,1567
2018-01-05,desktop,15672
2018-01-06,RS-os,966
2018-01-06,desktop,10304
2018-01-07,RS-os,996
2018-01-07,desktop,10711
2018-01-08,RS-os,1476
2018-01-08,desktop,22836
2018-01-09,RS-os,1719
2018-01-09,desktop,24330
2018-01-10,RS-os,1554
2018-01-10,desktop,25063
