"date","downloads"
"2019-09-28",18024
"2019-09-29",19608
"2019-09-30",33736
"2019-10-01",34799
"2019-10-02",4263
"2019-10-03",33157
"2019-10-04",27928
"2019-10-05",16594
"2019-10-06",18187
"2019-10-07",764
"2019-10-08",33293
"2019-10-09",31318
"2019-10-10",31919
"2019-10-11",27458
"2019-10-12",17531
"2019-10-13",18114
"2019-10-14",31760
"2019-10-15",33295
"2019-10-16",34258
"2019-10-17",31481
"2019-10-18",26992
"2019-10-19",17365
"2019-10-20",17489
"2019-10-21",32114
"2019-10-22",32952
"2019-10-23",31128
"2019-10-24",29169
"2019-10-25",24184
"2019-10-26",14683
"2019-10-27",15263
"2019-10-28",27611
"2019-10-29",29035
"2019-10-30",29304
"2019-10-31",26133
"2019-11-01",22431
"2019-11-02",15114
"2019-11-03",15646
"2019-11-04",32289
"2019-11-05",34668
"2019-11-06",32509
"2019-11-07",30950
"2019-11-08",28379
"2019-11-09",19258
"2019-11-10",18156
"2019-11-11",29317
"2019-11-12",33367
"2019-11-13",32556
"2019-11-14",32981
"2019-11-15",29013
"2019-11-16",19496
"2019-11-17",19823
"2019-11-18",34325
"2019-11-19",34601
"2019-11-20",33408
"2019-11-21",31443
"2019-11-22",28249
"2019-11-23",18664
"2019-11-24",18962
"2019-11-25",30945
"2019-11-26",32021
"2019-11-27",26126
"2019-11-28",24179
"2019-11-29",22314
"2019-11-30",16733
"2019-12-01",17066
"2019-12-02",30649
"2019-12-03",32142
"2019-12-04",31038
"2019-12-05",28592
"2019-12-06",26054
"2019-12-07",18029
"2019-12-08",17164
"2019-12-09",27502
"2019-12-10",28522
"2019-12-11",26905
"2019-12-12",26157
"2019-12-13",23606
"2019-12-14",15806
"2019-12-15",16199
"2019-12-16",26122
"2019-12-17",27513
"2019-12-18",26743
"2019-12-19",25207
"2019-12-20",21263
"2019-12-21",14717
"2019-12-22",14450
"2019-12-23",19453
"2019-12-24",15848
"2019-12-25",13416
"2019-12-26",16398
"2019-12-27",16492
"2019-12-28",13181
"2019-12-29",12818
"2019-12-30",16694
"2019-12-31",13540
"2020-01-01",11454
"2020-01-02",20372
"2020-01-03",21490
"2020-01-04",16677
"2020-01-05",27495
"2020-01-06",36351
"2020-01-07",38330
"2020-01-08",44714
"2020-01-09",42708
"2020-01-10",31777
"2020-01-11",20550
"2020-01-12",21317
"2020-01-13",40398
"2020-01-14",42682
"2020-01-15",38975
"2020-01-16",41114
"2020-01-17",33734
"2020-01-18",20661
"2020-01-19",19841
"2020-01-20",34780
"2020-01-21",43392
"2020-01-22",43895
"2020-01-23",40566
"2020-01-24",33501
"2020-01-25",19992
"2020-01-26",20626
"2020-01-27",40797
"2020-01-28",41337
"2020-01-29",41258
"2020-01-30",37655
"2020-01-31",29259
"2020-02-01",18189
"2020-02-02",18758
"2020-02-03",35442
"2020-02-04",35946
"2020-02-05",35671
"2020-02-06",35849
"2020-02-07",28734
"2020-02-08",19289
"2020-02-09",19857
"2020-02-10",35513
"2020-02-11",41493
"2020-02-12",40566
"2020-02-13",22420
"2020-02-14",32659
"2020-02-15",23405
"2020-02-16",23699
"2020-02-17",40555
"2020-02-18",43207
"2020-02-19",40930
"2020-02-20",38479
"2020-02-21",32954
"2020-02-22",23208
"2020-02-23",25333
"2020-02-24",41925
"2020-02-25",41096
"2020-02-26",41083
"2020-02-27",41516
"2020-02-28",14465
"2020-02-29",23685
"2020-03-01",24250
"2020-03-02",42914
"2020-03-03",43441
"2020-03-04",42304
"2020-03-05",40702
"2020-03-06",37551
"2020-03-07",25723
"2020-03-08",24464
"2020-03-09",40131
"2020-03-10",41579
"2020-03-11",41032
"2020-03-12",38721
"2020-03-13",34040
"2020-03-14",23655
"2020-03-15",25511
"2020-03-16",38634
"2020-03-17",45211
"2020-03-18",39541
"2020-03-19",45278
"2020-03-20",29628
"2020-03-21",21165
"2020-03-22",21003
"2020-03-23",37062
"2020-03-24",35397
"2020-03-25",34630
"2020-03-26",35228
"2020-03-27",30544
"2020-03-28",23403
"2020-03-29",21818
"2020-03-30",35792
"2020-03-31",34721
"2020-04-01",33914
"2020-04-02",33767
"2020-04-03",28938
"2020-04-04",20885
