"date","count","package"
2018-05-18,5789,"broom"
2018-05-19,3080,"broom"
2018-05-20,2823,"broom"
2018-05-21,5566,"broom"
2018-05-22,6417,"broom"
2018-05-23,7038,"broom"
2018-05-24,7020,"broom"
2018-05-25,5857,"broom"
2018-05-26,3390,"broom"
2018-05-27,3415,"broom"
2018-05-28,5773,"broom"
2018-05-29,7232,"broom"
2018-05-30,7180,"broom"
2018-05-31,6930,"broom"
2018-06-01,6343,"broom"
2018-06-02,3520,"broom"
2018-06-03,3425,"broom"
2018-06-04,7038,"broom"
2018-06-05,7284,"broom"
2018-06-06,7260,"broom"
2018-06-07,6946,"broom"
2018-06-08,6169,"broom"
2018-06-09,3409,"broom"
2018-06-10,3445,"broom"
2018-06-11,6855,"broom"
2018-06-12,7787,"broom"
2018-06-13,7099,"broom"
2018-06-14,7273,"broom"
2018-06-15,6124,"broom"
2018-06-16,3532,"broom"
2018-06-17,3495,"broom"
2018-06-18,6489,"broom"
2018-06-19,6350,"broom"
2018-06-20,6432,"broom"
2018-06-21,5979,"broom"
2018-06-22,5210,"broom"
2018-06-23,2828,"broom"
2018-06-24,3041,"broom"
2018-06-25,5926,"broom"
2018-06-26,6466,"broom"
2018-06-27,5930,"broom"
2018-06-28,5888,"broom"
2018-06-29,5033,"broom"
2018-06-30,2766,"broom"
2018-07-01,2715,"broom"
2018-07-02,5714,"broom"
2018-07-03,9768,"broom"
2018-07-04,8941,"broom"
2018-07-05,8882,"broom"
2018-07-06,7584,"broom"
2018-07-07,4645,"broom"
2018-07-08,4851,"broom"
2018-07-09,8886,"broom"
2018-07-10,8677,"broom"
2018-07-11,8404,"broom"
2018-07-12,7925,"broom"
2018-07-13,7093,"broom"
2018-07-14,4389,"broom"
2018-07-15,4228,"broom"
2018-07-16,7480,"broom"
2018-07-17,10923,"broom"
2018-07-18,10620,"broom"
2018-07-19,8885,"broom"
2018-07-20,6639,"broom"
2018-07-21,3128,"broom"
2018-07-22,3366,"broom"
2018-07-23,7232,"broom"
2018-07-24,7359,"broom"
2018-07-25,7116,"broom"
2018-07-26,6803,"broom"
2018-07-27,5848,"broom"
2018-07-28,3071,"broom"
2018-07-29,2918,"broom"
2018-07-30,6629,"broom"
2018-07-31,6866,"broom"
2018-08-01,6457,"broom"
2018-08-02,6460,"broom"
2018-08-03,5745,"broom"
2018-08-04,2782,"broom"
2018-08-05,2733,"broom"
2018-08-06,6072,"broom"
2018-08-07,6498,"broom"
2018-08-08,6556,"broom"
2018-08-09,6403,"broom"
2018-08-10,5093,"broom"
2018-08-11,3023,"broom"
2018-08-12,2623,"broom"
2018-08-13,6106,"broom"
2018-08-14,6230,"broom"
2018-08-15,5504,"broom"
2018-08-16,6305,"broom"
2018-08-17,4903,"broom"
2018-08-18,2881,"broom"
2018-08-19,2752,"broom"
2018-08-20,6365,"broom"
2018-08-21,7100,"broom"
2018-08-22,6530,"broom"
2018-08-23,6675,"broom"
2018-08-24,6293,"broom"
2018-08-25,3015,"broom"
2018-08-26,2861,"broom"
2018-08-27,6855,"broom"
2018-08-28,7472,"broom"
2018-08-29,7802,"broom"
2018-08-30,7766,"broom"
2018-08-31,6584,"broom"
2018-09-01,3232,"broom"
2018-09-02,3099,"broom"
2018-09-03,6012,"broom"
2018-09-04,8066,"broom"
2018-09-05,8986,"broom"
2018-09-06,9337,"broom"
2018-09-07,7956,"broom"
2018-09-08,3698,"broom"
2018-09-09,3612,"broom"
2018-09-10,8856,"broom"
2018-09-11,9047,"broom"
2018-09-12,9759,"broom"
2018-09-13,10001,"broom"
2018-09-14,8720,"broom"
2018-09-15,4092,"broom"
2018-09-16,4178,"broom"
2018-09-17,9705,"broom"
2018-09-18,9860,"broom"
2018-09-19,9725,"broom"
2018-09-20,10157,"broom"
2018-09-21,12113,"broom"
2018-09-22,3909,"broom"
2018-09-23,3986,"broom"
2018-09-24,9363,"broom"
2018-09-25,10344,"broom"
2018-09-26,9749,"broom"
2018-09-27,9730,"broom"
2018-09-28,8078,"broom"
2018-09-29,4297,"broom"
2018-09-30,4095,"broom"
2018-10-01,9422,"broom"
2018-10-02,9832,"broom"
2018-10-03,9853,"broom"
2018-10-04,10091,"broom"
2018-10-05,8124,"broom"
2018-10-06,3971,"broom"
2018-10-07,3928,"broom"
2018-10-08,8920,"broom"
2018-10-09,9566,"broom"
2018-10-10,9931,"broom"
2018-10-11,10110,"broom"
2018-10-12,7596,"broom"
2018-10-13,4554,"broom"
2018-10-14,4232,"broom"
2018-10-15,9074,"broom"
2018-10-16,9913,"broom"
2018-10-17,9502,"broom"
2018-10-18,9350,"broom"
2018-10-19,8128,"broom"
2018-10-20,4445,"broom"
2018-10-21,4069,"broom"
2018-10-22,8793,"broom"
2018-10-23,9149,"broom"
2018-10-24,9510,"broom"
2018-10-25,9374,"broom"
2018-10-26,8369,"broom"
2018-10-27,4398,"broom"
2018-10-28,4061,"broom"
2018-10-29,9083,"broom"
2018-10-30,8755,"broom"
2018-10-31,8317,"broom"
2018-11-01,8173,"broom"
2018-11-02,7296,"broom"
2018-11-03,3945,"broom"
2018-11-04,3871,"broom"
2018-11-05,8736,"broom"
2018-11-06,9593,"broom"
2018-11-07,9338,"broom"
2018-11-08,8976,"broom"
2018-11-09,8020,"broom"
2018-11-10,4426,"broom"
2018-11-11,3955,"broom"
2018-11-12,8543,"broom"
2018-11-13,10813,"broom"
2018-11-14,9702,"broom"
2018-11-15,9111,"broom"
2018-11-16,8224,"broom"
2018-11-17,4394,"broom"
2018-11-18,4386,"broom"
2018-11-19,8071,"broom"
2018-11-20,7427,"broom"
2018-11-21,6972,"broom"
2018-11-22,5912,"broom"
2018-11-23,4895,"broom"
2018-11-24,3131,"broom"
2018-11-25,3108,"broom"
2018-11-26,7004,"broom"
2018-11-27,8316,"broom"
2018-11-28,8259,"broom"
2018-11-29,8079,"broom"
2018-11-30,7210,"broom"
2018-12-01,3907,"broom"
2018-12-02,3887,"broom"
2018-12-03,7799,"broom"
2018-12-04,8193,"broom"
2018-12-05,11946,"broom"
2018-12-06,11710,"broom"
2018-12-07,8869,"broom"
2018-12-08,4897,"broom"
2018-12-09,4324,"broom"
2018-12-10,9346,"broom"
2018-12-11,9365,"broom"
2018-12-12,8697,"broom"
2018-12-13,8534,"broom"
2018-12-14,7142,"broom"
2018-12-15,4066,"broom"
2018-12-16,3928,"broom"
2018-12-17,7913,"broom"
2018-12-18,7641,"broom"
2018-12-19,7302,"broom"
2018-12-20,7127,"broom"
2018-12-21,5796,"broom"
2018-12-22,3300,"broom"
2018-12-23,3113,"broom"
2018-12-24,3520,"broom"
2018-12-25,3429,"broom"
2018-12-26,4831,"broom"
2018-12-27,5149,"broom"
2018-12-28,5253,"broom"
2018-12-29,3682,"broom"
2018-12-30,3363,"broom"
2018-12-31,4427,"broom"
2019-01-01,3998,"broom"
2019-01-02,6959,"broom"
2019-01-03,7167,"broom"
2019-01-04,7116,"broom"
2019-01-05,4572,"broom"
2019-01-06,4480,"broom"
2019-01-07,8739,"broom"
2019-01-08,10546,"broom"
2019-01-09,11264,"broom"
2019-01-10,11790,"broom"
2019-01-11,10720,"broom"
2019-01-12,5848,"broom"
2019-01-13,6188,"broom"
2019-01-14,10792,"broom"
2019-01-15,12177,"broom"
2019-01-16,12606,"broom"
2019-01-17,10817,"broom"
2019-01-18,8937,"broom"
2019-01-19,5399,"broom"
2019-01-20,4682,"broom"
2019-01-21,8865,"broom"
2019-01-22,10410,"broom"
2019-01-23,10632,"broom"
2019-01-24,10248,"broom"
2019-01-25,10094,"broom"
2019-01-26,4753,"broom"
2019-01-27,4485,"broom"
2019-01-28,10861,"broom"
2019-01-29,11359,"broom"
2019-01-30,11640,"broom"
2019-01-31,11093,"broom"
2019-02-01,10002,"broom"
2019-02-02,4895,"broom"
2019-02-03,5260,"broom"
2019-02-04,12713,"broom"
2019-02-05,12011,"broom"
2019-02-06,11271,"broom"
2019-02-07,12577,"broom"
2019-02-08,10406,"broom"
2019-02-09,5056,"broom"
2019-02-10,5516,"broom"
2019-02-11,12544,"broom"
2019-02-12,13149,"broom"
2019-02-13,13987,"broom"
2019-02-14,12435,"broom"
2019-02-15,11153,"broom"
2019-02-16,5958,"broom"
2019-02-17,5435,"broom"
2019-02-18,11143,"broom"
2019-02-19,13239,"broom"
2019-02-20,13128,"broom"
2019-02-21,12318,"broom"
2019-02-22,11220,"broom"
2019-02-23,5428,"broom"
2019-02-24,5467,"broom"
2019-02-25,10362,"broom"
2019-02-26,9740,"broom"
2019-02-27,9562,"broom"
2019-02-28,10018,"broom"
2019-03-01,8287,"broom"
2019-03-02,4165,"broom"
2019-03-03,4143,"broom"
2019-03-04,10267,"broom"
2019-03-05,9736,"broom"
2019-03-06,9949,"broom"
2019-03-07,10232,"broom"
2019-03-08,8382,"broom"
2019-03-09,4907,"broom"
2019-03-10,4578,"broom"
2019-03-11,10221,"broom"
2019-03-12,10489,"broom"
2019-03-13,10092,"broom"
2019-03-14,9828,"broom"
2019-03-15,8403,"broom"
2019-03-16,4657,"broom"
2019-03-17,4809,"broom"
2019-03-18,9610,"broom"
2019-03-19,10554,"broom"
2019-03-20,10453,"broom"
2019-03-21,9397,"broom"
2019-03-22,9049,"broom"
2019-03-23,4927,"broom"
2019-03-24,4695,"broom"
2019-03-25,10213,"broom"
2019-03-26,11170,"broom"
2019-03-27,10478,"broom"
2019-03-28,10964,"broom"
2019-03-29,9669,"broom"
2019-03-30,4839,"broom"
2019-03-31,4953,"broom"
2019-04-01,10921,"broom"
2019-04-02,11153,"broom"
2019-04-03,11796,"broom"
2019-04-04,11533,"broom"
2019-04-05,9973,"broom"
2019-04-06,5684,"broom"
2019-04-07,6908,"broom"
2019-04-08,17398,"broom"
2019-04-09,15856,"broom"
2019-04-10,15086,"broom"
2019-04-11,13960,"broom"
2019-04-12,12309,"broom"
2019-04-13,6643,"broom"
2019-04-14,6684,"broom"
2019-04-15,12763,"broom"
2019-04-16,13646,"broom"
2019-04-17,13768,"broom"
2019-04-18,11880,"broom"
2019-04-19,9343,"broom"
2019-04-20,5737,"broom"
2019-04-21,5516,"broom"
2019-04-22,10162,"broom"
2019-04-23,12306,"broom"
2019-04-24,12467,"broom"
2019-04-25,12375,"broom"
2019-04-26,11533,"broom"
2019-04-27,7034,"broom"
2019-04-28,7865,"broom"
2019-04-29,14479,"broom"
2019-04-30,14116,"broom"
2019-05-01,11840,"broom"
2019-05-02,14418,"broom"
2019-05-03,12953,"broom"
2019-05-04,6792,"broom"
2019-05-05,7359,"broom"
2019-05-06,13787,"broom"
2019-05-07,13794,"broom"
2019-05-08,13534,"broom"
2019-05-09,13217,"broom"
2019-05-10,12284,"broom"
2019-05-11,6328,"broom"
2019-05-12,6328,"broom"
2019-05-13,13103,"broom"
2019-05-14,13586,"broom"
2019-05-15,13780,"broom"
2019-05-16,13532,"broom"
2019-05-17,12064,"broom"
2019-05-18,6511,"broom"
2019-05-19,6245,"broom"
2019-05-20,12026,"broom"
2019-05-21,14008,"broom"
2019-05-22,13107,"broom"
2019-05-23,13753,"broom"
2019-05-24,11493,"broom"
2019-05-25,6262,"broom"
2019-05-26,6286,"broom"
2019-05-27,10516,"broom"
2019-05-28,13610,"broom"
2019-05-29,13337,"broom"
2019-05-30,11586,"broom"
2019-05-31,10620,"broom"
2019-06-01,6362,"broom"
2019-06-02,6013,"broom"
2019-06-03,12140,"broom"
2019-06-04,13233,"broom"
2019-06-05,12640,"broom"
2019-06-06,13579,"broom"
2019-06-07,11966,"broom"
2019-06-08,5339,"broom"
2019-06-09,5141,"broom"
2019-06-10,11344,"broom"
2019-06-11,14286,"broom"
2019-06-12,18313,"broom"
2019-06-13,26080,"broom"
2019-06-14,22133,"broom"
2019-06-15,7525,"broom"
2019-06-16,5233,"broom"
2019-06-17,11366,"broom"
2019-06-18,11720,"broom"
2019-06-19,11597,"broom"
2019-06-20,10482,"broom"
